eventName,userAgent,sourceIPAddress,eventSource,additionalEventData,errorMessage,errorCode,readOnly,type,accountId,userName,invokedBy,sessionContext.sessionIssuer.userName,Label
DescribeEnvironmentManagedActions,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,elasticbeanstalk.amazonaws.com,,An unknown error occurred,AccessDeniedException,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeEnvironments,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,elasticbeanstalk.amazonaws.com,,,,,IAMUser,8.11596E+11,backup,,,Legit
DescribeEventBus,aws-cli/1.16.130 Python/2.7.15rc1 Linux/4.15.0-47-generic botocore/1.12.120,231.255.215.126,events.amazonaws.com,,,,,IAMUser,8.11596E+11,Level6,,,Legit
DescribeEventTypes,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,health.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: health:DescribeEventTypes on resource: *,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeEvents,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,dax.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: dax:DescribeEvents,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeExportTasks,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,ec2.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: logs:DescribeExportTasks on resource: arn:aws:logs:us-east-1:811596193553:log-group::log-stream:,AccessDenied,,IAMUser,8.11596E+11,backup,,flaws,Malicious
DescribeFileSystems,Boto3/1.9.105 Python/2.7.16rc1 Linux/4.19.0-kali3-amd64 Botocore/1.12.105,155.251.168.5,elasticfilesystem.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: elasticfilesystem:DescribeFileSystems on resource: arn:aws:elasticfilesystem:us-east-1:811596193553:file-system/*,AccessDenied,,IAMUser,8.11596E+11,Level6,,,Malicious
DescribeFleetAttributes,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,gamelift.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: gamelift:DescribeFleetAttributes,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeFleetCapacity,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,gamelift.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: gamelift:DescribeFleetCapacity,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeFleetHistory,AWSPowerShell/3.3.365.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.01985.0 WindowsPowerShell/5.0 ClientSync,84.252.252.117,ec2.amazonaws.com,,Parameter FleetId is required.,Client.MissingParameter,,IAMUser,8.11596E+11,backup,,,Legit
DescribeFleetInstances,AWSPowerShell/3.3.365.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.01985.0 WindowsPowerShell/5.0 ClientSync,84.252.252.117,ec2.amazonaws.com,,Parameter FleetId is required.,Client.MissingParameter,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeFleets,AWSPowerShell/3.3.365.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.01985.0 WindowsPowerShell/5.0 ClientSync,84.252.252.117,ec2.amazonaws.com,,,,,IAMUser,8.11596E+11,backup,,,Legit
DescribeFlowLogs,ec2-frontend-api.amazonaws.com,ec2-frontend-api.amazonaws.com,ec2.amazonaws.com,,,,,IAMUser,8.11596E+11,Level6,ec2-frontend-api.amazonaws.com,,Legit
DescribeFpgaImageAttribute,AWSPowerShell/3.3.365.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.01985.0 WindowsPowerShell/5.0 ClientSync,84.252.252.117,ec2.amazonaws.com,,Image ID 'null' is invalid.,Client.InvalidFpgaImageID.Malformed,,IAMUser,8.11596E+11,backup,,,Legit
DescribeFpgaImages,AWSPowerShell/3.3.365.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.01985.0 WindowsPowerShell/5.0 ClientSync,84.252.252.117,ec2.amazonaws.com,,,,,IAMUser,8.11596E+11,backup,,,Legit
DescribeGameSessionQueues,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,gamelift.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: gamelift:DescribeGameSessionQueues,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeHostReservationOfferings,AWSPowerShell/3.3.365.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.01985.0 WindowsPowerShell/5.0 ClientSync,84.252.252.117,ec2.amazonaws.com,,,,,IAMUser,8.11596E+11,backup,,,Legit
DescribeHostReservations,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,ec2.amazonaws.com,,,,,IAMUser,8.11596E+11,backup,,,Legit
DescribeHosts,aws-cli/1.16.4 Python/2.7.15 Darwin/17.5.0 botocore/1.11.4,179.1.8.253,ec2.amazonaws.com,,The specified Dedicated host IDs ['6j9/RdIFUxHuxpktB5ai91rfRd+IVyRJapJGaEf9t2Zz6h7Jrk1yVNgzujR/H2pN8IZimTG/PzQ='] are not valid.,Client.InvalidHostID.Malformed,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeHsm,Boto3/1.7.4 Python/3.6.7 Linux/4.15.0-47-generic Botocore/1.10.4,202.157.9.237,cloudhsm.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: cloudhsm:DescribeHsm,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeHsmConfigurations,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,redshift.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: redshift:DescribeHsmConfigurations on resource: *,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeIamInstanceProfileAssociations,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,ec2.amazonaws.com,,,,,IAMUser,8.11596E+11,backup,,,Legit
DescribeIdFormat,AWSPowerShell/3.3.365.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.01985.0 WindowsPowerShell/5.0 ClientSync,84.252.252.117,ec2.amazonaws.com,,,,,IAMUser,8.11596E+11,backup,,,Legit
DescribeIdentityIdFormat,AWSPowerShell/3.3.365.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.01985.0 WindowsPowerShell/5.0 ClientSync,84.252.252.117,ec2.amazonaws.com,,Invalid TargetArn: missing parameter,Client.InvalidTargetArn.Unknown,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeImageAttribute,AWSPowerShell/3.3.365.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.01985.0 WindowsPowerShell/5.0 ClientSync,84.252.252.117,ec2.amazonaws.com,,The request must contain the parameter Attribute,Client.MissingParameter,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeImages,aws-cli/1.16.4 Python/2.7.15 Darwin/17.5.0 botocore/1.11.4,179.1.8.253,ec2.amazonaws.com,,"Request would have succeeded, but DryRun flag is set.",Client.DryRunOperation,,IAMUser,8.11596E+11,backup,,flaws,Malicious
DescribeImportImageTasks,ec2-frontend-api.amazonaws.com,ec2-frontend-api.amazonaws.com,ec2.amazonaws.com,,,,,IAMUser,8.11596E+11,backup,ec2-frontend-api.amazonaws.com,,Legit
DescribeImportSnapshotTasks,ec2-frontend-api.amazonaws.com,ec2-frontend-api.amazonaws.com,ec2.amazonaws.com,,,,,IAMUser,8.11596E+11,backup,ec2-frontend-api.amazonaws.com,,Legit
DescribeInstanceAttribute,Boto3/1.9.105 Python/2.7.16rc1 Linux/4.19.0-kali3-amd64 Botocore/1.12.105,155.251.168.5,ec2.amazonaws.com,,The request must contain the parameter instanceId,Client.MissingParameter,,IAMUser,8.11596E+11,Level6,,,Legit
DescribeInstanceCreditSpecifications,AWSPowerShell/3.3.365.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.01985.0 WindowsPowerShell/5.0 ClientSync,84.252.252.117,ec2.amazonaws.com,,,,,IAMUser,8.11596E+11,backup,,,Legit
DescribeInstanceStatus,aws-cli/1.16.105 Python/3.6.8 Linux/4.18.0-kali2-amd64 botocore/1.12.95,88.6.124.211,ec2.amazonaws.com,,"Request would have succeeded, but DryRun flag is set.",Client.DryRunOperation,,IAMUser,8.11596E+11,backup,,flaws,Malicious
DescribeInstances,aws-cli/1.14.44 Python/3.6.7 Linux/4.15.0-43-generic botocore/1.8.48,251.24.251.255,ec2.amazonaws.com,,You are not authorized to perform this operation.,Client.UnauthorizedOperation,,IAMUser,8.11596E+11,backup,,flaws,Malicious
DescribeInstancesHealth,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,elasticbeanstalk.amazonaws.com,,An unknown error occurred,AccessDeniedException,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeInternetGateways,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,ec2.amazonaws.com,,"Request would have succeeded, but DryRun flag is set.",Client.DryRunOperation,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeJobDefinitions,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,batch.amazonaws.com,,,AccessDeniedException,1,IAMUser,8.11596E+11,backup,,,Malicious
DescribeJobQueues,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,batch.amazonaws.com,,,AccessDeniedException,1,IAMUser,8.11596E+11,backup,,,Malicious
DescribeKey,Boto3/1.9.105 Python/2.7.16rc1 Linux/4.19.0-kali3-amd64 Botocore/1.12.105,155.251.168.5,kms.amazonaws.com,,,,1,IAMUser,8.11596E+11,Level6,,,Legit
DescribeKeyPairs,aws-cli/1.16.103 Python/2.7.12 Linux/4.4.0-142-generic botocore/1.12.93,251.253.208.77,ec2.amazonaws.com,,"Request would have succeeded, but DryRun flag is set.",Client.DryRunOperation,,IAMUser,8.11596E+11,backup,,flaws,Malicious
DescribeLags,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.12.110,2.231.90.242,directconnect.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: directconnect:DescribeLags,AccessDenied,,IAMUser,8.11596E+11,Level6,,,Malicious
DescribeLaunchConfigurations,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,autoscaling.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: autoscaling:DescribeLaunchConfigurations,AccessDenied,,IAMUser,8.11596E+11,backup,,flaws,Malicious
DescribeLaunchTemplateVersions,AWSPowerShell/3.3.365.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.01985.0 WindowsPowerShell/5.0 ClientSync,84.252.252.117,ec2.amazonaws.com,,Either a launch template ID or a launch template name must be specified in the request.,Client.MissingParameter,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeLaunchTemplates,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,ec2.amazonaws.com,,"Request would have succeeded, but DryRun flag is set.",Client.DryRunOperation,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeLimits,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,dynamodb.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: dynamodb:DescribeLimits on resource: *,AccessDenied,1,IAMUser,8.11596E+11,backup,,,Malicious
DescribeListeners,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,elasticloadbalancing.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: elasticloadbalancing:DescribeListeners,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeLoadBalancerPolicyTypes,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:13.0) Gecko/207396 ElasticWolf/5.1.7,4.225.0.1,elasticloadbalancing.amazonaws.com,,User: arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a is not authorized to perform: elasticloadbalancing:DescribeLoadBalancerPolicyTypes,AccessDenied,,AssumedRole,8.11596E+11,,,flaws,Malicious
DescribeLoadBalancers,aws-cli/1.16.96 Python/3.6.7 Linux/4.18.0-kali3-amd64 botocore/1.12.86,252.1.2.165,elasticloadbalancing.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: elasticloadbalancing:DescribeLoadBalancers,AccessDenied,,IAMUser,8.11596E+11,Level6,,flaws,Malicious
DescribeLocations,aws-cli/1.16.130 Python/2.7.15rc1 Linux/4.15.0-47-generic botocore/1.12.120,231.255.215.126,directconnect.amazonaws.com,,,,,IAMUser,8.11596E+11,Level6,,,Legit
DescribeLogGroups,aws-cli/1.14.44 Python/3.6.7 Linux/4.15.0-43-generic botocore/1.8.48,181.24.4.8,logs.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: logs:DescribeLogGroups on resource: arn:aws:logs:us-east-1:811596193553:log-group::log-stream:,AccessDenied,,IAMUser,8.11596E+11,Level6,,,Malicious
DescribeLogStreams,aws-cli/1.14.44 Python/3.6.7 Linux/4.15.0-29-generic botocore/1.8.48,22.203.202.251,logs.amazonaws.com,,User: arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a is not authorized to perform: logs:DescribeLogStreams on resource: arn:aws:logs:us-west-2:811596193553:log-group:/aws/lambda/Level6:log-stream:,AccessDenied,,IAMUser,8.11596E+11,Level6,,flaws,Malicious
DescribeLunaClient,Boto3/1.7.4 Python/3.6.7 Linux/4.15.0-47-generic Botocore/1.10.4,202.157.9.237,cloudhsm.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: cloudhsm:DescribeLunaClient,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeMountTargets,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,elasticfilesystem.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: elasticfilesystem:DescribeMountTargets on resource: arn:aws:elasticfilesystem:us-east-1:811596193553:file-system/*,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeMovingAddresses,ec2-frontend-api.amazonaws.com,ec2-frontend-api.amazonaws.com,ec2.amazonaws.com,,,,,IAMUser,8.11596E+11,backup,ec2-frontend-api.amazonaws.com,,Legit
DescribeMyUserProfile,aws-cli/1.16.19 Python/3.7.2 Darwin/18.2.0 botocore/1.12.9,97.1.131.147,opsworks.amazonaws.com,,An unknown error occurred,AccessDeniedException,,IAMUser,8.11596E+11,Level6,,flaws,Malicious
DescribeNatGateways,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,ec2.amazonaws.com,,,,,IAMUser,8.11596E+11,backup,,,Legit
DescribeNetworkAcls,aws-cli/1.16.103 Python/2.7.12 Linux/4.4.0-142-generic botocore/1.12.93,251.253.208.77,ec2.amazonaws.com,,"Request would have succeeded, but DryRun flag is set.",Client.DryRunOperation,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeNetworkInterfaceAttribute,AWSPowerShell/3.3.365.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.01985.0 WindowsPowerShell/5.0 ClientSync,84.252.252.117,ec2.amazonaws.com,,The request must contain the parameter networkInterfaceId,Client.MissingParameter,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeNetworkInterfacePermissions,AWSPowerShell/3.3.365.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.01985.0 WindowsPowerShell/5.0 ClientSync,84.252.252.117,ec2.amazonaws.com,,,,,IAMUser,8.11596E+11,backup,,,Legit
DescribeNetworkInterfaces,aws-cli/1.16.103 Python/2.7.12 Linux/4.4.0-142-generic botocore/1.12.93,251.253.208.77,ec2.amazonaws.com,,"Request would have succeeded, but DryRun flag is set.",Client.DryRunOperation,,IAMUser,8.11596E+11,backup,,flaws,Malicious
DescribeNotificationConfigurations,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:13.0) Gecko/207396 ElasticWolf/5.1.7,4.225.0.1,autoscaling.amazonaws.com,,User: arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a is not authorized to perform: autoscaling:DescribeNotificationConfigurations,AccessDenied,,AssumedRole,8.11596E+11,,,flaws,Malicious
DescribeNotificationsForBudget,Coral/Netty4,2.7.223.252,budgets.amazonaws.com,,,,,Root,8.11596E+11,flaws,,,Legit
DescribeOptionGroups,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:13.0) Gecko/207396 ElasticWolf/5.1.7,4.225.0.1,rds.amazonaws.com,,User: arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a is not authorized to perform: rds:DescribeOptionGroups,AccessDenied,,AssumedRole,8.11596E+11,,,flaws,Malicious
DescribeOrganization,cloudtrail.amazonaws.com,cloudtrail.amazonaws.com,organizations.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: organizations:DescribeOrganization on resource: *,AccessDenied,1,AssumedRole,8.11596E+11,backup,cloudtrail.amazonaws.com,AWSServiceRoleForCloudTrail,Malicious
DescribeParameterGroups,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,dax.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: dax:DescribeParameterGroups,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribePlacementGroups,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,ec2.amazonaws.com,,"Request would have succeeded, but DryRun flag is set.",Client.DryRunOperation,,IAMUser,8.11596E+11,backup,,flaws,Malicious
DescribePolicies,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,autoscaling.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: autoscaling:DescribePolicies,AccessDenied,,IAMUser,8.11596E+11,backup,,flaws,Malicious
DescribePrefixLists,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,ec2.amazonaws.com,,"Request would have succeeded, but DryRun flag is set.",Client.DryRunOperation,,IAMUser,8.11596E+11,backup,,,Malicious
DescribePrincipalIdFormat,aws-cli/1.16.130 Python/2.7.16rc1 Linux/4.19.0-kali3-amd64 botocore/1.12.120,251.252.39.140,ec2.amazonaws.com,,,,,IAMUser,8.11596E+11,Level6,,,Legit
DescribeRegions,aws-cli/1.16.96 Python/3.6.7 Linux/4.18.0-kali3-amd64 botocore/1.12.92,166.3.203.155,ec2.amazonaws.com,,You are not authorized to perform this operation.,Client.UnauthorizedOperation,,IAMUser,8.11596E+11,Level6,,flaws,Malicious
DescribeReplicationGroups,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,elasticache.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: elasticache:DescribeReplicationGroups,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeRepositories,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.12.110,2.231.90.242,ecr.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: ecr:DescribeRepositories on resource: *,AccessDenied,,IAMUser,8.11596E+11,Level6,,,Malicious
DescribeReservedCacheNodes,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,elasticache.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: elasticache:DescribeReservedCacheNodes,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeReservedCacheNodesOfferings,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,elasticache.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: elasticache:DescribeReservedCacheNodesOfferings,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeReservedDBInstances,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,rds.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: rds:DescribeReservedDBInstances,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeReservedElasticsearchInstances,aws-cli/1.16.130 Python/2.7.15rc1 Linux/4.15.0-47-generic botocore/1.12.120,231.255.215.126,es.amazonaws.com,,,,,IAMUser,8.11596E+11,Level6,,,Legit
DescribeReservedInstances,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,ec2.amazonaws.com,,"Request would have succeeded, but DryRun flag is set.",Client.DryRunOperation,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeReservedInstancesListings,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,ec2.amazonaws.com,,"AccountId '811596193553', You are not authorized to use the requested product. Please complete the seller registration https://portal.aws.amazon.com/ec2/ri/seller_registration?action=businessInfo.",Client.OptInRequired,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeReservedInstancesModifications,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,ec2.amazonaws.com,,,,,IAMUser,8.11596E+11,backup,,,Legit
DescribeReservedInstancesOfferings,AWSPowerShell/3.3.365.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.01985.0 WindowsPowerShell/5.0 ClientSync,84.252.252.117,ec2.amazonaws.com,,,,,IAMUser,8.11596E+11,backup,,,Legit
DescribeResourcePolicies,aws-cli/1.16.130 Python/2.7.15rc1 Linux/4.15.0-47-generic botocore/1.12.120,231.255.215.126,logs.amazonaws.com,,,,,IAMUser,8.11596E+11,Level6,,,Legit
DescribeRouteTables,aws-cli/1.14.44 Python/3.6.7 Linux/4.15.0-43-generic botocore/1.8.48,251.24.251.255,ec2.amazonaws.com,,"Request would have succeeded, but DryRun flag is set.",Client.DryRunOperation,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeSSLPolicies,Boto3/1.9.105 Python/2.7.16rc1 Linux/4.19.0-kali3-amd64 Botocore/1.12.105,155.251.168.5,elasticloadbalancing.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: elasticloadbalancing:DescribeSSLPolicies,AccessDenied,,IAMUser,8.11596E+11,Level6,,,Malicious
DescribeScheduledActions,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,autoscaling.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: autoscaling:DescribeScheduledActions,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeScheduledInstanceAvailability,AWSPowerShell/3.3.365.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.01985.0 WindowsPowerShell/5.0 ClientSync,84.252.252.117,ec2.amazonaws.com,,2 validation errors detected: Value null at 'recurrence' failed to satisfy constraint: Member must not be null; Value null at 'firstSlotStartTimeRange' failed to satisfy constraint: Member must not be null,Client.InvalidParameterValue,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeScheduledInstances,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,ec2.amazonaws.com,,"Request would have succeeded, but DryRun flag is set.",Client.DryRunOperation,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeSecurityGroupReferences,AWSPowerShell/3.3.365.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.01985.0 WindowsPowerShell/5.0 ClientSync,84.252.252.117,ec2.amazonaws.com,,The request must contain the parameter groupIds,Client.MissingParameter,,IAMUser,8.11596E+11,backup,,,Legit
DescribeSecurityGroups,aws-cli/1.16.103 Python/2.7.12 Linux/4.4.0-142-generic botocore/1.12.93,251.253.208.77,ec2.amazonaws.com,,"Request would have succeeded, but DryRun flag is set.",Client.DryRunOperation,,IAMUser,8.11596E+11,backup,,flaws,Malicious
DescribeServers,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.12.110,2.231.90.242,opsworks-cm.amazonaws.com,,,,,IAMUser,8.11596E+11,Level6,,,Legit
DescribeServices,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,support.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: support:,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeSnapshotAttribute,aws-cli/1.14.44 Python/3.6.7 Linux/4.15.0-43-generic botocore/1.8.48,251.24.251.255,ec2.amazonaws.com,,The request received was invalid.,Client.InvalidRequest,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeSnapshots,aws-cli/1.16.4 Python/2.7.15 Darwin/17.5.0 botocore/1.11.4,179.1.8.253,ec2.amazonaws.com,,"Invalid user id: ""AIDA9BO36HFBHKGJAO9C1""",Client.InvalidUserID.Malformed,,IAMUser,8.11596E+11,backup,,flaws,Malicious
DescribeSpotDatafeedSubscription,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,ec2.amazonaws.com,,"Request would have succeeded, but DryRun flag is set.",Client.DryRunOperation,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeSpotFleetInstances,AWSPowerShell/3.3.365.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.01985.0 WindowsPowerShell/5.0 ClientSync,84.252.252.117,ec2.amazonaws.com,,1 validation error detected: Value null at 'spotFleetRequestId' failed to satisfy constraint: Member must not be null,Client.InvalidParameterValue,,IAMUser,8.11596E+11,backup,,,Legit
